Num   theta     phi         ul          ul_err   
324   1.403    4.025   2.551799e-15  2.052476e-16
325   1.403    4.222   1.965491e-15  1.787494e-16
326   1.403    4.418   2.221157e-15  1.238696e-16
327   1.403    4.614   1.822870e-15  1.080009e-16
328   1.403    4.811   1.894354e-15  1.429485e-16
329   1.403    5.007   2.269174e-15  7.277229e-17
330   1.403    5.203   2.505652e-15  9.452848e-17
331   1.403    5.400   2.381275e-15  8.724160e-17
332   1.403    5.596   2.239848e-15  1.007743e-16
333   1.403    5.792   2.506450e-15  2.606435e-16
334   1.403    5.989   2.824151e-15  1.353191e-16
335   1.403    6.185   3.044514e-15  1.634464e-16
336   1.487    0.000   3.577979e-15  1.684581e-16
337   1.487    0.196   4.114099e-15  4.680512e-16
338   1.487    0.393   5.382548e-15  3.183243e-16
339   1.487    0.589   7.664978e-15  5.191593e-16
340   1.487    0.785   8.256184e-15  6.944337e-16
341   1.487    0.982   8.733749e-15  3.973393e-16
342   1.487    1.178   1.088491e-14  4.678808e-16
343   1.487    1.374   1.305892e-14  1.133182e-15
344   1.487    1.571   1.362881e-14  8.552190e-16
345   1.487    1.767   1.172485e-14  4.231748e-16
346   1.487    1.963   1.112473e-14  5.947794e-16
347   1.487    2.160   9.834656e-15  5.392961e-16
348   1.487    2.356   8.836918e-15  5.198696e-16
349   1.487    2.553   8.007482e-15  4.567094e-16
350   1.487    2.749   6.018488e-15  3.007798e-16
351   1.487    2.945   4.882179e-15  3.220609e-16
352   1.487    3.142   4.176478e-15  4.779384e-16
353   1.487    3.338   3.669677e-15  2.291618e-16
354   1.487    3.534   2.893449e-15  1.872183e-16
355   1.487    3.731   2.310142e-15  1.130969e-16
356   1.487    3.927   2.544901e-15  1.119430e-16
357   1.487    4.123   2.368618e-15  2.187812e-16
358   1.487    4.320   1.996023e-15  1.008136e-16
359   1.487    4.516   2.186026e-15  9.862388e-17
360   1.487    4.712   1.882978e-15  8.903066e-17
361   1.487    4.909   1.970514e-15  1.020895e-16
362   1.487    5.105   2.576109e-15  1.609416e-16
363   1.487    5.301   2.772987e-15  1.193100e-16
364   1.487    5.498   2.432028e-15  1.215240e-16
365   1.487    5.694   2.550677e-15  1.757984e-16
366   1.487    5.890   2.527218e-15  1.445629e-16
367   1.487    6.087   3.230659e-15  2.180332e-16
368   1.571    0.098   4.089586e-15  2.557284e-16
369   1.571    0.295   4.967165e-15  2.274609e-16
370   1.571    0.491   5.756518e-15  3.552663e-16
371   1.571    0.687   6.549920e-15  3.924136e-16
372   1.571    0.884   9.270340e-15  4.906638e-16
373   1.571    1.080   1.108257e-14  5.093270e-16
374   1.571    1.276   1.275394e-14  8.653295e-16
375   1.571    1.473   1.289623e-14  4.084946e-16
376   1.571    1.669   1.212042e-14  8.609356e-16
377   1.571    1.865   1.150342e-14  9.092209e-16
378   1.571    2.062   1.088540e-14  3.662359e-16
379   1.571    2.258   8.424424e-15  6.098183e-16
380   1.571    2.454   8.814423e-15  4.851380e-16
381   1.571    2.651   6.316889e-15  4.801084e-16
382   1.571    2.847   5.524538e-15  6.152606e-16
383   1.571    3.043   4.227189e-15  2.596064e-16
384   1.571    3.240   3.954066e-15  2.264060e-16
385   1.571    3.436   3.236251e-15  1.987120e-16
386   1.571    3.632   3.108864e-15  2.864764e-16
387   1.571    3.829   2.904549e-15  1.994207e-16
388   1.571    4.025   2.412191e-15  1.717111e-16
389   1.571    4.222   2.200931e-15  1.764077e-16
390   1.571    4.418   2.065119e-15  1.081767e-16
391   1.571    4.614   2.140381e-15  9.460218e-17
392   1.571    4.811   2.327847e-15  1.703230e-16
393   1.571    5.007   2.277344e-15  1.788714e-16
394   1.571    5.203   2.403815e-15  8.350204e-17
395   1.571    5.400   2.300355e-15  1.143172e-16
396   1.571    5.596   2.084961e-15  1.385549e-16
397   1.571    5.792   3.048622e-15  2.397462e-16
398   1.571    5.989   2.891134e-15  1.135566e-16
399   1.571    6.185   3.196046e-15  2.424120e-16
400   1.654    0.000   3.142211e-15  9.520621e-17
401   1.654    0.196   4.324531e-15  2.140014e-16
402   1.654    0.393   5.217357e-15  3.500108e-16
403   1.654    0.589   6.210969e-15  2.776173e-16
404   1.654    0.785   8.402815e-15  7.163839e-16
405   1.654    0.982   8.198851e-15  4.774788e-16
406   1.654    1.178   9.629609e-15  2.789893e-16
407   1.654    1.374   1.109872e-14  5.771804e-16
408   1.654    1.571   1.256683e-14  9.261958e-16
409   1.654    1.767   1.188725e-14  3.055134e-16
410   1.654    1.963   1.203920e-14  7.013348e-16
411   1.654    2.160   1.034940e-14  6.114917e-16
412   1.654    2.356   8.360849e-15  4.493059e-16
413   1.654    2.553   6.721999e-15  4.422429e-16
414   1.654    2.749   5.715953e-15  2.983066e-16
415   1.654    2.945   4.568477e-15  4.962644e-16
416   1.654    3.142   3.776908e-15  3.924491e-16
417   1.654    3.338   3.525916e-15  2.980381e-16
418   1.654    3.534   2.885899e-15  1.625557e-16
419   1.654    3.731   2.590518e-15  1.680934e-16
420   1.654    3.927   2.575087e-15  3.580804e-16
421   1.654    4.123   2.453915e-15  1.549366e-16
422   1.654    4.320   2.343870e-15  1.765395e-16
423   1.654    4.516   2.093482e-15  1.066626e-16
424   1.654    4.712   2.556797e-15  2.079897e-16
425   1.654    4.909   2.097893e-15  9.136056e-17
426   1.654    5.105   2.138404e-15  1.541557e-16
427   1.654    5.301   2.616422e-15  1.752578e-16
428   1.654    5.498   2.127611e-15  1.077424e-16
429   1.654    5.694   2.347269e-15  1.097293e-16
430   1.654    5.890   2.469090e-15  1.443123e-16
431   1.654    6.087   2.968192e-15  1.411052e-16
432   1.738    0.098   3.302200e-15  3.105282e-16
433   1.738    0.295   4.013891e-15  2.045038e-16
434   1.738    0.491   5.333001e-15  2.746115e-16
435   1.738    0.687   7.632580e-15  6.585784e-16
436   1.738    0.884   8.103402e-15  3.664037e-16
437   1.738    1.080   9.363564e-15  4.171149e-16
438   1.738    1.276   1.012316e-14  6.290032e-16
439   1.738    1.473   1.152966e-14  5.589411e-16
440   1.738    1.669   1.283645e-14  4.235955e-16
